primary_label,site,count
116570,S08,10
116570,S23,3
1491113,S22,53
1491113,S03,14
1491113,S13,12
22961,S22,24
22961,S13,12
22967,S22,120
22967,S03,12
22967,S19,12
22967,S18,11
22973,S22,181
22973,S19,20
22973,S03,12
23158,S22,169
23158,S13,6
24279,S22,171
24279,S18,2
24321,S22,167
24321,S19,5
25073,S19,12
25092,S22,24
326272,S19,23
43435,S23,12
47144,S22,15
47158son01,S08,12
47158son01,S19,11
47158son02,S23,7
47158son03,S08,12
47158son03,S23,12
47158son03,S19,9
47158son04,S23,12
47158son04,S19,5
47158son05,S19,2
47158son05,S08,1
47158son06,S23,18
47158son07,S15,48
47158son08,S08,12
47158son08,S15,5
47158son09,S19,6
47158son10,S23,25
47158son10,S08,8
47158son11,S19,24
47158son11,S08,12
47158son12,S19,5
47158son13,S08,24
47158son13,S19,12
47158son14,S23,12
47158son15,S08,12
47158son16,S08,12
47158son17,S08,43
47158son18,S08,12
47158son19,S08,5
47158son20,S08,12
47158son21,S08,22
47158son22,S08,24
47158son23,S08,24
47158son24,S19,24
47158son25,S08,48
47158son25,S23,36
516975,S09,13
517063,S22,269
517063,S03,22
517063,S19,9
517063,S13,8
517063,S18,5
555146,S22,209
555146,S18,1
65377,S13,9
65380,S22,321
65380,S13,12
66971,S22,149
67107,S19,9
67252,S22,2
74113,S22,2
bafcur1,S23,9
bufpar,S22,12
bufpar,S15,2
bunibi1,S22,2
chacha1,S15,32
chacha1,S08,17
chacha1,S23,11
chacha1,S22,3
chacha1,S09,2
chvcon1,S15,35
compau,S22,37
compau,S19,1
compot1,S22,3
fusfly1,S15,3
grekis,S09,2
hyamac1,S22,10
limpki,S15,3
litnig1,S22,37
magant1,S15,5
nacnig1,S22,11
orwpar,S15,13
plcjay1,S09,1
purjay1,S15,5
redjun,S22,12
rufhor2,S23,4
ruther1,S15,1
rutjac1,S15,1
sibtan2,S22,1
strher2,S22,2
thlwre1,S09,2
trsowl,S22,26
undtin1,S22,31
undtin1,S15,12
wfwduc1,S23,1
whtdov,S15,48
whtdov,S23,10
whtdov,S22,5
